,itching,skin_rash,nodal_skin_eruptions,continuous_sneezing,shivering,chills,joint_pain,stomach_pain,acidity,ulcers_on_tongue,muscle_wasting,vomiting,burning_micturition,spotting_ urination,fatigue,weight_gain,anxiety,cold_hands_and_feets,mood_swings,weight_loss,restlessness,lethargy,patches_in_throat,irregular_sugar_level,cough,high_fever,sunken_eyes,breathlessness,sweating,dehydration,indigestion,headache,yellowish_skin,dark_urine,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,constipation,abdominal_pain,diarrhoea,mild_fever,yellow_urine,yellowing_of_eyes,acute_liver_failure,fluid_overload,swelling_of_stomach,swelled_lymph_nodes,malaise,blurred_and_distorted_vision,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,weakness_in_limbs,fast_heart_rate,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,neck_pain,dizziness,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,excessive_hunger,extra_marital_contacts,drying_and_tingling_lips,slurred_speech,knee_pain,hip_joint_pain,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,spinning_movements,loss_of_balance,unsteadiness,weakness_of_one_body_side,loss_of_smell,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,passage_of_gases,internal_itching,toxic_look_(typhos),depression,irritability,muscle_pain,altered_sensorium,red_spots_over_body,belly_pain,abnormal_menstruation,dischromic _patches,watering_from_eyes,increased_appetite,polyuria,family_history,mucoid_sputum,rusty_sputum,lack_of_concentration,visual_disturbances,receiving_blood_transfusion,receiving_unsterile_injections,coma,stomach_bleeding,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload.1,blood_in_sputum,prominent_veins_on_calf,palpitations,painful_walking,pus_filled_pimples,blackheads,scurring,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,blister,red_sore_around_nose,yellow_crust_ooze
itching,1.0,0.31815806405105945,0.3264393533801082,-0.08690594689607635,-0.059893346993965105,-0.17590450690530288,-0.16064957833909668,0.20284982916977834,-0.08690594689607632,-0.059893346993965105,-0.05989334699396513,-0.05776309825979838,0.20789638435016677,0.35058514715348116,0.06974379677463659,-0.061572963590323854,-0.06157296359032386,-0.061572963590323854,-0.08812881623423653,0.09182981826636599,-0.08812881623423605,0.31143579973289337,-0.05989334699396513,-0.06157296359032365,-0.1438550562890543,0.037308649249683364,-0.05989334699396514,-0.12684752859576967,-0.1598302687411563,-0.05989334699396514,-0.0869059468960763,-0.06758525764561792,0.3009362014410744,0.2532395101791627,-0.06964411697521736,0.230102586412562,-0.06321199821654666,-0.08812881623423596,-0.08812881623423625,0.26328181641157145,-0.14385505628905437,0.13512704436623313,0.36172323696542846,0.1736734312778604,-0.0615729635903238,,-0.061572963590323805,0.13809918053746711,0.22129862108743273,-0.10927093864234212,-0.11131743541202395,-0.06321199821654665,-0.06321199821654665,-0.06321199821654665,-0.06321199821654665,-0.06321199821654665,-0.16228268324503076,-0.059893346993965146,-0.08933801556721503,-0.06157296359032383,-0.06157296359032383,-0.06157296359032383,-0.06157296359032383,-0.08812881623423621,-0.10823727480133431,-0.06157296359032385,-0.06157296359032385,-0.08812881623423606,-0.06157296359032385,-0.0598933469939652,-0.061572963590323854,-0.06321199821654662,-0.06321199821654662,-0.06321199821654662,-0.12870057005934896,-0.05989334699396513,-0.06157296359032386,-0.0632119982165466,-0.06157296359032387,-0.06157296359032387,-0.08933801556721507,-0.08812881623423618,-0.08812881623423661,-0.06157296359032388,-0.059893346993965195,-0.10927093864234208,-0.06157296359032389,-0.059893346993965146,-0.06321199821654665,-0.0615729635903239,-0.05816961680767368,-0.061572963590323895,-0.06157296359032364,-0.06157296359032364,-0.06157296359032373,-0.08933801556721513,-0.13053709888104592,-0.13053709888104562,-0.06157296359032369,0.22649731062682474,-0.06157296359032373,-0.09053410428124484,0.3264393533801082,-0.059893346993965105,-0.06321199821654666,-0.06321199821654666,-0.08812881623423596,-0.061572963590323666,-0.06321199821654665,-0.061572963590323666,-0.06157296359032367,0.3725592107275984,0.3725592107275984,-0.06321199821654666,-0.06321199821654666,-0.061572963590323805,-0.061572963590323805,-0.061572963590323805,-0.06321199821654665,-0.06157296359032385,-0.0632119982165466,-0.08812881623423661,-0.0598933469939652,-0.0598933469939652,-0.0598933469939652,-0.0615729635903239,-0.0615729635903239,-0.0615729635903239,-0.0615729635903239,-0.06157296359032391,-0.06157296359032391,-0.06157296359032391
skin_rash,0.31815806405105945,1.0,0.29814277694863994,-0.0947863975685882,-0.06532435124000789,-0.029323899245993053,0.17113394987756703,0.16178416898803083,-0.0947863975685883,-0.06532435124000788,-0.06532435124000781,-0.22504559420699724,0.16650661934171035,0.29814277694863994,-0.10524814331499405,-0.06715627197904794,-0.06715627197904794,-0.06715627197904794,-0.09612015415720657,-0.13936264015816172,-0.09612015415720622,0.06724569338286407,-0.06532435124000781,-0.06715627197904812,-0.15689953386013286,0.11705909527296068,-0.06532435124000777,-0.13834979889752919,-0.1743233453805998,-0.06532435124000777,-0.09478639756858831,0.05379243230848946,-0.2079982110058065,-0.15784064110546137,-0.0906631350517151,0.049730665657239013,0.3410356274563463,0.20471391610581047,-0.09612015415720634,-0.22464810391489654,-0.15689953386013283,0.11044689345233104,-0.06715627197904794,-0.19443186420862252,-0.06715627197904789,,-0.06715627197904787,0.11339595827181778,0.1742415125488223,-0.11917940029156554,-0.12141146913569967,-0.06894393085923349,-0.06894393085923349,-0.06894393085923349,-0.06894393085923349,-0.06894393085923349,-0.17699813973556325,-0.06532435124000771,-0.09743900117294686,-0.06715627197904792,-0.06715627197904792,-0.06715627197904792,-0.06715627197904792,-0.09612015415720626,-0.11805200596144487,-0.06715627197904793,-0.06715627197904793,-0.09612015415720622,-0.06715627197904793,-0.0653243512400074,-0.06715627197904794,-0.06894393085923337,-0.06894393085923337,-0.06894393085923337,-0.14037087031039347,-0.06532435124000781,-0.06715627197904794,-0.06894393085923331,-0.06715627197904794,-0.06715627197904794,-0.09743900117294689,-0.09612015415720622,-0.09612015415720668,-0.06715627197904796,-0.06532435124000727,-0.11917940029156551,-0.06715627197904796,-0.06532435124000768,-0.06894393085923349,-0.06715627197904796,-0.06344431678235377,-0.06715627197904796,-0.06715627197904818,-0.06715627197904818,-0.06715627197904799,-0.09743900117294695,-0.14237393174929594,0.06068329432274638,-0.06715627197904804,0.48120638845066666,-0.06715627197904799,-0.09874354872608433,0.29814277694863994,-0.06532435124000789,-0.06894393085923399,-0.06894393085923399,-0.09612015415720623,-0.06715627197904807,-0.06894393085923348,-0.06715627197904805,-0.06715627197904803,-0.06894393085923367,-0.06894393085923367,-0.06894393085923359,-0.06894393085923359,-0.06715627197904787,-0.06715627197904787,-0.06715627197904787,-0.06894393085923353,-0.06715627197904793,-0.06894393085923331,-0.09612015415720668,0.3208594724604315,0.3208594724604315,0.3208594724604315,0.3310866265387273,0.3310866265387273,0.3310866265387273,0.3310866265387273,0.3310866265387273,0.3310866265387273,0.3310866265387273
nodal_skin_eruptions,0.3264393533801082,0.29814277694863994,1.0,-0.032566347252509474,-0.02244389027431149,-0.06591686138590264,-0.06020036765052081,-0.03256634725250945,-0.032566347252509474,-0.022443890274311495,-0.0224438902743115,-0.11954338439873188,-0.032102753749643644,-0.022443890274311498,-0.12046540162474985,-0.023073294581863864,-0.02307329458186384,-0.023073294581863864,-0.0330245942302353,-0.047881681864037684,-0.033024594230235585,-0.04788168186403769,-0.0224438902743115,-0.02307329458186415,-0.05390694060029263,-0.09269037737429281,-0.022443890274311505,-0.047533693744946516,-0.05989334699396539,-0.022443890274311505,-0.03256634725250945,-0.0819908315179412,-0.07146322828245949,-0.05423028262129107,-0.08255443877537008,-0.08283614142332055,-0.02368749156955797,-0.03302459423023551,-0.033024594230235474,-0.07718373468531042,-0.053906940600292545,-0.04171408731351991,-0.023073294581863975,-0.06680215483649557,-0.023073294581863944,,-0.023073294581863937,-0.04133191994307913,-0.061117324874777945,-0.04094720165341059,-0.041714087313519874,-0.023687491569557958,-0.023687491569557958,-0.023687491569557958,-0.023687491569557958,-0.023687491569557958,-0.06081234258855467,-0.022443890274311512,-0.033477718634040865,-0.023073294581863895,-0.023073294581863895,-0.023073294581863895,-0.023073294581863895,-0.03302459423023554,-0.040559855829668166,-0.023073294581863878,-0.023073294581863878,-0.0330245942302356,-0.023073294581863878,-0.02244389027431156,-0.023073294581863864,-0.02368749156955796,-0.02368749156955796,-0.02368749156955796,-0.048228085716174124,-0.0224438902743115,-0.023073294581863843,-0.023687491569557958,-0.02307329458186383,-0.02307329458186383,-0.03347771863404092,-0.03302459423023554,-0.03302459423023527,-0.02307329458186382,-0.02244389027431157,-0.0409472016534106,-0.023073294581863815,-0.022443890274311516,-0.023687491569557958,-0.023073294581863794,-0.02179795523969697,-0.023073294581863787,-0.023073294581864166,-0.023073294581864173,-0.023073294581864,-0.03347771863404091,-0.04891628988956216,-0.0489162898895621,-0.023073294581864072,-0.0334777186340407,-0.023073294581864,-0.03392593008328774,0.8863951233028292,-0.02244389027431149,-0.023687491569557982,-0.023687491569557982,-0.03302459423023555,-0.02307329458186413,-0.02368749156955796,-0.023073294581864117,-0.02307329458186411,-0.023687491569557968,-0.023687491569557968,-0.023687491569557965,-0.023687491569557965,-0.023073294581863937,-0.023073294581863937,-0.023073294581863937,-0.02368749156955796,-0.023073294581863878,-0.023687491569557958,-0.03302459423023527,-0.02244389027431157,-0.02244389027431157,-0.02244389027431157,-0.023073294581863777,-0.023073294581863777,-0.023073294581863777,-0.023073294581863777,-0.023073294581863767,-0.023073294581863767,-0.023073294581863767
continuous_sneezing,-0.08690594689607635,-0.0947863975685882,-0.032566347252509474,1.0,0.6089809139380467,0.4462384988696228,-0.08735143745910527,-0.04725415070242782,-0.047254150702427763,-0.03256634725250946,-0.03256634725250945,-0.17345884873289721,-0.04658147110838881,-0.03256634725250945,0.041755197811637244,-0.03347962026317528,-0.03347962026317527,-0.03347962026317528,-0.047919072425954716,-0.06947688032510957,-0.04791907242595472,-0.06947688032510958,-0.03256634725250945,-0.033479620263175434,0.2537301727651711,0.1018599309030242,-0.03256634725250945,-0.06897194549485508,-0.08690594689607622,-0.03256634725250945,-0.04725415070242774,0.1321374679155709,-0.10369397994675447,-0.07868877426602075,-0.11978745607536999,-0.1201962099118498,-0.03437082727489252,-0.047919072425954674,-0.0479190724259547,-0.11199450163434588,-0.07821960121231092,-0.06052762850692621,-0.03347962026317535,-0.09693070786890375,-0.03347962026317532,,-0.03347962026317532,0.3525166230649957,0.2136847893136411,-0.05941486844594723,0.3714560875433767,0.6892744280532539,0.6892744280532539,0.6892744280532539,0.6892744280532539,0.6892744280532539,0.23207049762133586,-0.03256634725250944,-0.04857656123483771,-0.0334796202631753,-0.0334796202631753,-0.0334796202631753,-0.0334796202631753,-0.0479190724259547,-0.058852825125974687,-0.033479620263175296,-0.033479620263175296,-0.047919072425954716,-0.033479620263175296,-0.032566347252509356,-0.03347962026317528,-0.03437082727489243,-0.03437082727489243,-0.03437082727489243,-0.0699795163654956,-0.03256634725250945,-0.03347962026317527,-0.034370827274892414,-0.03347962026317526,-0.03347962026317526,-0.048576561234837695,-0.0479190724259547,-0.04791907242595471,-0.03347962026317526,-0.03256634725250934,-0.05941486844594724,-0.03347962026317525,-0.03256634725250943,0.6892744280532539,-0.03347962026317523,-0.03162908796355543,-0.03347962026317523,-0.03347962026317544,-0.03347962026317544,-0.03347962026317536,-0.0485765612348378,-0.07097810866911934,0.30734516641295984,-0.03347962026317539,-0.048576561234837744,-0.03347962026317536,-0.049226921289180464,-0.032566347252509474,0.6089809139380467,-0.03437082727489256,-0.03437082727489256,-0.04791907242595467,-0.03347962026317542,-0.03437082727489244,-0.033479620263175414,-0.03347962026317541,-0.034370827274892504,-0.034370827274892504,-0.03437082727489248,-0.03437082727489248,-0.03347962026317532,-0.03347962026317532,-0.03347962026317532,-0.03437082727489246,-0.033479620263175296,-0.034370827274892414,-0.04791907242595471,-0.03256634725250932,-0.03256634725250932,-0.03256634725250932,-0.033479620263175226,-0.033479620263175226,-0.033479620263175226,-0.03347962026317523,-0.03347962026317522,-0.03347962026317522,-0.03347962026317522
shivering,-0.059893346993965105,-0.06532435124000789,-0.02244389027431149,0.6089809139380467,1.0,0.2953317690999283,-0.060200367650520815,-0.03256634725250944,-0.03256634725250946,-0.022443890274311498,-0.0224438902743115,-0.11954338439873186,-0.03210275374964364,-0.0224438902743115,-0.12046540162474985,-0.023073294581863853,-0.02307329458186383,-0.023073294581863853,-0.03302459423023529,-0.047881681864037656,-0.03302459423023557,-0.04788168186403766,-0.0224438902743115,-0.02307329458186414,-0.05390694060029263,-0.09269037737429281,-0.022443890274311505,-0.047533693744946516,-0.0598933469939654,-0.022443890274311505,-0.032566347252509446,-0.08199083151794123,-0.07146322828245946,-0.054230282621291086,-0.08255443877537007,-0.08283614142332052,-0.023687491569557965,-0.03302459423023549,-0.03302459423023545,-0.07718373468531044,-0.05390694060029254,-0.0417140873135199,-0.023073294581863968,-0.06680215483649558,-0.023073294581863933,,-0.02307329458186393,-0.04133191994307913,-0.06111732487477797,-0.04094720165341059,-0.041714087313519874,-0.023687491569557958,-0.023687491569557958,-0.023687491569557958,-0.023687491569557958,-0.023687491569557958,-0.06081234258855467,-0.022443890274311516,-0.03347771863404088,-0.023073294581863888,-0.023073294581863888,-0.023073294581863888,-0.023073294581863888,-0.03302459423023553,-0.04055985582966815,-0.02307329458186386,-0.02307329458186386,-0.033024594230235585,-0.02307329458186386,-0.022443890274311557,-0.023073294581863853,-0.023687491569557954,-0.023687491569557954,-0.023687491569557954,-0.04822808571617411,-0.0224438902743115,-0.02307329458186383,-0.02368749156955795,-0.02307329458186382,-0.02307329458186382,-0.03347771863404093,-0.03302459423023553,-0.033024594230235266,-0.023073294581863812,-0.02244389027431157,-0.0409472016534106,-0.0230732945818638,-0.022443890274311516,-0.023687491569557958,-0.023073294581863777,-0.021797955239696975,-0.023073294581863777,-0.02307329458186416,-0.023073294581864162,-0.023073294581863985,-0.03347771863404091,-0.04891628988956215,-0.048916289889562085,-0.02307329458186406,-0.033477718634040705,-0.02307329458186399,-0.03392593008328774,-0.02244389027431149,0.8863951233028292,-0.023687491569557975,-0.023687491569557975,-0.03302459423023553,-0.02307329458186412,-0.023687491569557954,-0.023073294581864107,-0.0230732945818641,-0.02368749156955796,-0.02368749156955796,-0.023687491569557958,-0.023687491569557958,-0.02307329458186393,-0.02307329458186393,-0.02307329458186393,-0.023687491569557958,-0.02307329458186386,-0.02368749156955795,-0.033024594230235266,-0.02244389027431157,-0.02244389027431157,-0.02244389027431157,-0.02307329458186377,-0.02307329458186377,-0.02307329458186377,-0.02307329458186377,-0.023073294581863756,-0.023073294581863756,-0.023073294581863756
chills,-0.17590450690530288,-0.029323899245993053,-0.06591686138590264,0.4462384988696228,0.2953317690999283,1.0,-0.004687778554239135,-0.09564613671926253,-0.09564613671926248,-0.06591686138590265,-0.06591686138590266,0.14426259388922164,-0.0942845800419481,-0.06591686138590266,0.2694370225543334,-0.06776539815868854,-0.06776539815868855,-0.06776539815868854,-0.09699199085336045,0.06472055802398824,-0.09699199085336038,-0.14062669830318025,-0.06591686138590266,-0.06776539815868848,0.40242980159016706,0.5410930121861757,-0.06591686138590269,0.27354118103222586,0.3423636124483616,-0.06591686138590269,-0.09564613671926255,0.34048996031701306,-0.20988481298517145,-0.15927229988991706,0.19582478711865742,0.05358098421395929,0.33790789065364873,0.20200587568706346,0.20200587568706319,-0.07229843723552025,0.21551231554727812,0.12073285954095406,-0.06776539815868853,-0.02720356603219946,-0.06776539815868854,,-0.06776539815868855,0.35605091921608223,0.5109979292620663,-0.12026039080298943,0.5944215907542683,0.3379078906536496,0.3379078906536496,0.3379078906536496,0.3379078906536496,0.3379078906536496,0.3624860478134781,-0.06591686138590272,0.19700575713841903,-0.06776539815868854,-0.06776539815868854,-0.06776539815868854,-0.06776539815868854,-0.09699199085336051,-0.11912277069081208,-0.06776539815868854,-0.06776539815868854,-0.09699199085336031,-0.06776539815868854,-0.06591686138590278,-0.06776539815868854,-0.0695692716051629,-0.0695692716051629,-0.0695692716051629,-0.1416440733850487,-0.06591686138590266,-0.06776539815868855,-0.06956927160516295,-0.06776539815868854,-0.06776539815868854,-0.09832280018059704,-0.09699199085336054,-0.09699199085336054,-0.06776539815868855,-0.06591686138590279,-0.12026039080298943,-0.06776539815868857,-0.06591686138590273,0.3379078906536496,-0.06776539815868855,-0.06401977448962021,-0.06776539815868855,-0.06776539815868848,-0.06776539815868848,0.3500363047745751,-0.09832280018059711,-0.14366530315172027,0.48421237084909835,-0.06776539815868853,0.18146214885847484,0.3500363047745751,-0.09963918034509163,-0.06591686138590264,0.2953317690999283,-0.06956927160516235,-0.06956927160516235,-0.09699199085336002,-0.0677653981586885,0.3379078906536497,-0.06776539815868851,-0.06776539815868853,-0.06956927160516262,-0.06956927160516262,-0.0695692716051627,-0.0695692716051627,-0.06776539815868855,-0.06776539815868855,-0.06776539815868855,0.33790789065364957,-0.06776539815868854,-0.06956927160516295,-0.09699199085336054,-0.0659168613859028,-0.0659168613859028,-0.0659168613859028,-0.06776539815868857,-0.06776539815868857,-0.06776539815868857,-0.06776539815868857,-0.06776539815868857,-0.06776539815868857,-0.06776539815868857
joint_pain,-0.16064957833909668,0.17113394987756703,-0.06020036765052081,-0.08735143745910527,-0.060200367650520815,-0.004687778554239135,1.0,-0.08735143745910506,-0.08735143745910515,-0.06020036765052083,-0.06020036765052086,0.19992134349775656,-0.08610795876749833,-0.06020036765052084,0.06665200555922135,-0.06188859416793706,-0.06188859416793705,-0.06188859416793706,-0.08858057537575659,-0.1284311595142096,-0.08858057537575652,-0.1284311595142096,-0.06020036765052086,-0.06188859416793716,-0.14459247498490307,0.03499007633799938,-0.0602003676505209,-0.12749776461472612,-0.16064957833909702,-0.0602003676505209,-0.08735143745910512,-0.06089517615569824,0.2981440842749733,0.44927322803994385,0.38731880257889123,0.39378299583522,0.37062684567451454,0.2299986869406038,-0.08858057537575652,0.269151873528106,0.05456625315779677,0.1472876751849352,-0.061888594167937114,0.351519820883372,0.35984531622858135,,-0.061888594167937086,-0.11086298969848604,0.017477295404221944,-0.10983107490131763,-0.11188806226493993,-0.06353603068706137,-0.06353603068706137,-0.06353603068706137,-0.06353603068706137,-0.06353603068706137,-0.16311456422107656,-0.06020036765052093,-0.08979597321309643,-0.06188859416793708,-0.06188859416793708,-0.06188859416793708,-0.06188859416793708,0.2132313573450055,-0.10879211237245022,-0.06188859416793707,-0.06188859416793707,-0.0885805753757565,-0.06188859416793707,-0.06020036765052105,-0.06188859416793706,-0.06353603068706132,-0.06353603068706132,-0.06353603068706132,-0.1293603049965441,-0.06020036765052086,-0.06188859416793705,-0.06353603068706132,0.35984531622858057,0.35984531622858057,-0.0897959732130965,-0.08858057537575657,0.21323135734500592,-0.06188859416793705,-0.0602003676505211,-0.10983107490131759,-0.06188859416793704,-0.06020036765052094,-0.06353603068706137,-0.06188859416793703,-0.058467801411468484,-0.06188859416793703,-0.06188859416793716,-0.06188859416793716,-0.06188859416793712,-0.08979597321309649,-0.13120624809065298,0.3108099152527171,-0.06188859416793714,0.208312115996386,-0.06188859416793712,-0.09099819322485962,-0.06020036765052081,-0.060200367650520815,-0.06353603068706148,-0.06353603068706148,-0.08858057537575642,-0.061888594167937155,-0.06353603068706136,-0.061888594167937155,-0.06188859416793715,-0.06353603068706141,-0.06353603068706141,0.37062684567451437,0.37062684567451437,-0.061888594167937086,-0.061888594167937086,-0.061888594167937086,-0.06353603068706139,-0.06188859416793707,-0.06353603068706132,0.21323135734500592,-0.06020036765052111,-0.06020036765052111,-0.06020036765052111,0.3598453162285803,0.3598453162285803,0.3598453162285803,0.3598453162285803,-0.06188859416793702,-0.06188859416793702,-0.06188859416793702
stomach_pain,0.20284982916977834,0.16178416898803083,-0.03256634725250945,-0.04725415070242782,-0.03256634725250944,-0.09564613671926253,-0.08735143745910506,1.0,0.43391667529599937,0.6490776177624497,-0.03256634725250941,0.03140570700179408,0.4122390250943606,0.6089809139380468,-0.17479670651011855,-0.03347962026317529,-0.033479620263175275,-0.03347962026317529,-0.04791907242595473,-0.06947688032510976,-0.047919072425954834,-0.06947688032510976,-0.03256634725250941,-0.033479620263175476,0.25373017276517035,-0.13449482151461567,-0.03256634725250941,-0.06897194549485465,-0.08690594689607663,-0.03256634725250941,-0.04725415070242772,-0.11896965535388522,-0.1036939799467546,-0.07868877426602075,-0.11978745607536997,-0.12019620991184983,-0.03437082727489238,-0.047919072425954744,-0.04791907242595477,-0.11199450163434649,-0.07821960121231074,-0.06052762850692621,-0.033479620263175365,-0.09693070786890363,-0.03347962026317534,,-0.03347962026317534,-0.05997309918324523,-0.0886819531146415,-0.05941486844594721,-0.06052762850692624,-0.034370827274892365,-0.034370827274892365,-0.034370827274892365,-0.034370827274892365,-0.034370827274892365,0.2152120808912285,-0.0325663472525094,-0.048576561234837834,-0.0334796202631753,-0.0334796202631753,-0.0334796202631753,-0.0334796202631753,-0.04791907242595483,-0.05885282512597453,-0.0334796202631753,-0.0334796202631753,-0.04791907242595483,-0.0334796202631753,-0.032566347252509384,-0.03347962026317529,-0.03437082727489235,-0.03437082727489235,-0.03437082727489235,-0.0699795163654959,-0.03256634725250941,-0.033479620263175275,-0.03437082727489234,-0.03347962026317527,-0.03347962026317527,-0.04857656123483781,-0.04791907242595483,-0.047919072425954716,-0.03347962026317526,-0.032566347252509356,-0.059414868445947164,-0.033479620263175254,-0.0325663472525094,-0.034370827274892365,-0.03347962026317525,-0.03162908796355543,-0.03347962026317525,-0.03347962026317549,-0.03347962026317549,-0.033479620263175386,-0.048576561234837966,-0.07097810866911915,-0.07097810866911894,-0.03347962026317543,-0.04857656123483792,-0.033479620263175386,-0.04922692128918035,-0.032566347252509446,-0.03256634725250944,-0.034370827274892435,-0.034370827274892435,-0.04791907242595476,-0.03347962026317546,-0.034370827274892365,-0.033479620263175455,-0.03347962026317545,-0.034370827274892365,-0.034370827274892365,-0.03437082727489236,-0.03437082727489236,-0.03347962026317534,-0.03347962026317534,-0.03347962026317534,-0.03437082727489237,-0.0334796202631753,-0.03437082727489234,-0.047919072425954716,-0.03256634725250934,-0.03256634725250934,-0.03256634725250934,-0.03347962026317524,-0.03347962026317524,-0.03347962026317524,-0.03347962026317524,-0.03347962026317523,-0.03347962026317523,-0.03347962026317523
acidity,-0.08690594689607632,-0.0947863975685883,-0.032566347252509474,-0.047254150702427763,-0.03256634725250946,-0.09564613671926248,-0.08735143745910515,0.43391667529599937,1.0,0.6089809139380469,-0.03256634725250943,0.019354850782106987,-0.04658147110838883,-0.03256634725250944,-0.17479670651011858,-0.03347962026317526,-0.033479620263175254,-0.03347962026317526,-0.047919072425954695,-0.06947688032510971,-0.047919072425954806,-0.06947688032510971,-0.03256634725250943,-0.03347962026317544,0.2352885186553114,-0.13449482151461584,-0.03256634725250943,-0.06897194549485477,-0.08690594689607647,-0.03256634725250943,0.46222084153119863,0.132137467915571,-0.10369397994675454,-0.07868877426602075,-0.11978745607537002,-0.1201962099118498,-0.034370827274892414,-0.04791907242595471,-0.04791907242595474,-0.11199450163434622,-0.07821960121231086,-0.060527628506926195,-0.033479620263175344,-0.09693070786890366,-0.033479620263175316,,-0.033479620263175316,-0.059973099183245275,-0.08868195311464137,0.35640469450430257,-0.06052762850692622,-0.0343708272748924,-0.0343708272748924,-0.0343708272748924,-0.0343708272748924,-0.0343708272748924,0.1983536641611211,-0.03256634725250942,-0.04857656123483776,-0.03347962026317529,-0.03347962026317529,-0.03347962026317529,-0.03347962026317529,-0.04791907242595479,-0.05885282512597456,-0.03347962026317528,-0.03347962026317528,-0.0479190724259548,-0.03347962026317528,-0.0325663472525094,-0.03347962026317526,-0.034370827274892386,-0.034370827274892386,-0.034370827274892386,0.292567925387646,-0.03256634725250943,-0.033479620263175254,-0.03437082727489237,-0.03347962026317525,-0.03347962026317525,-0.04857656123483773,0.45512894251505304,-0.047919072425954695,-0.03347962026317524,-0.032566347252509384,-0.059414868445947226,-0.03347962026317523,-0.03256634725250942,-0.0343708272748924,-0.03347962026317522,-0.03162908796355543,-0.03347962026317522,-0.033479620263175455,-0.033479620263175455,-0.03347962026317536,0.44829803601128415,0.28743341509284503,-0.07097810866911901,-0.0334796202631754,-0.048576561234837834,-0.03347962026317536,-0.0492269212891804,-0.032566347252509474,-0.03256634725250946,-0.03437082727489244,-0.03437082727489244,-0.04791907242595474,-0.033479620263175434,-0.03437082727489239,-0.03347962026317542,0.6694495334843125,-0.0343708272748924,-0.0343708272748924,-0.03437082727489239,-0.03437082727489239,-0.033479620263175316,-0.033479620263175316,-0.033479620263175316,-0.03437082727489241,-0.03347962026317528,-0.03437082727489237,-0.047919072425954695,-0.03256634725250936,-0.03256634725250936,-0.03256634725250936,-0.03347962026317522,-0.03347962026317522,-0.03347962026317522,-0.03347962026317522,-0.03347962026317521,-0.03347962026317521,-0.03347962026317521
ulcers_on_tongue,-0.059893346993965105,-0.06532435124000788,-0.022443890274311495,-0.03256634725250946,-0.022443890274311498,-0.06591686138590265,-0.06020036765052083,0.6490776177624497,0.6089809139380469,1.0,-0.022443890274311505,0.15360346396620062,-0.032102753749643644,-0.0224438902743115,-0.12046540162474986,-0.02307329458186385,-0.023073294581863822,-0.02307329458186385,-0.03302459423023528,-0.04788168186403765,-0.033024594230235564,-0.047881681864037656,-0.022443890274311505,-0.02307329458186413,0.3902199813666789,-0.09269037737429281,-0.02244389027431151,-0.04753369374494652,-0.0598933469939654,-0.02244389027431151,-0.03256634725250944,-0.08199083151794125,-0.07146322828245943,-0.0542302826212911,-0.08255443877537005,-0.08283614142332052,-0.023687491569557965,-0.033024594230235474,-0.033024594230235446,-0.07718373468531044,-0.053906940600292545,-0.0417140873135199,-0.023073294581863957,-0.06680215483649561,-0.023073294581863926,,-0.023073294581863923,-0.04133191994307913,-0.06111732487477799,-0.0409472016534106,-0.04171408731351987,-0.023687491569557958,-0.023687491569557958,-0.023687491569557958,-0.023687491569557958,-0.023687491569557958,0.34518576837142734,-0.022443890274311516,-0.033477718634040886,-0.023073294581863878,-0.023073294581863878,-0.023073294581863878,-0.023073294581863878,-0.03302459423023552,-0.04055985582966813,-0.023073294581863857,-0.023073294581863857,-0.03302459423023558,-0.023073294581863857,-0.022443890274311564,-0.02307329458186385,-0.023687491569557954,-0.023687491569557954,-0.023687491569557954,-0.04822808571617411,-0.022443890274311505,-0.023073294581863826,-0.02368749156955795,-0.023073294581863812,-0.023073294581863812,-0.033477718634040934,-0.03302459423023552,-0.03302459423023525,-0.0230732945818638,-0.022443890274311575,-0.040947201653410606,-0.023073294581863794,-0.02244389027431152,-0.023687491569557958,-0.023073294581863774,-0.02179795523969698,-0.02307329458186377,-0.023073294581864155,-0.023073294581864155,-0.02307329458186398,-0.033477718634040914,-0.04891628988956213,-0.04891628988956208,-0.02307329458186405,-0.03347771863404071,-0.023073294581863982,-0.03392593008328774,-0.022443890274311495,-0.022443890274311498,-0.023687491569557975,-0.023687491569557975,-0.03302459423023552,-0.023073294581864114,-0.023687491569557954,-0.023073294581864103,-0.023073294581864093,-0.023687491569557965,-0.023687491569557965,-0.023687491569557958,-0.023687491569557958,-0.023073294581863923,-0.023073294581863923,-0.023073294581863923,-0.023687491569557958,-0.023073294581863857,-0.02368749156955795,-0.03302459423023525,-0.022443890274311575,-0.022443890274311575,-0.02244389027431157,-0.02307329458186376,-0.02307329458186376,-0.02307329458186376,-0.02307329458186376,-0.023073294581863746,-0.023073294581863746,-0.023073294581863746
