DRUG_ID,DRUG_NAME,INDICATION_FDB
5375,cepharanthine,Leukopenia
5375,cepharanthine,Snake bite wound
5375,cepharanthine,Aptyalism
5375,cepharanthine,Alopecia
965,drostanolone propionate,Malignant tumor of breast
318,benzbromarone,Gout
318,benzbromarone,Hyperuricemia
1031,epitizide,Hypertensive disorder
3578,tafenoquine,Malaria
5197,mecasermin rinfabate,Laron type isolated somatotropin defect
2189,piperidione,Cough
2454,sobrerol,Chronic bronchitis
2005,oxaceprol,Osteoarthritis
175,aminorex,Weight loss
3426,pentorex,Weight loss
5279,ibalizumab,HIV / AIDS (Human immunodeficiency virus infection)
5280,fostamatinib,Immune thrombocytopenia
5281,tildrakizumab,Plaque psoriasis
5282,burosumab,Familial x linked hypophosphatemic vitamin D refractory rickets
5283,fosnetupitant,Chemotherapy induced nausea and vomiting
5284,erenumab,Migraine
5285,avatrombopag,Thrombocytopenic disorder
5286,moxidectin,Infection by Onchocerca volvulus
5287,plazomicin,Urinary tract infectious disease
5288,cannabidiol,Lennox Gastaut syndrome
5288,cannabidiol,Severe myoclonic epilepsy in infancy
5289,encorafenib,Metastatic malignant melanoma
5290,binimetinib,Metastatic malignant melanoma
5226,deutetrabenazine,Tardive dyskinesia
5253,vaborbactam,Urinary tract infection caused by Klebsiella
5253,vaborbactam,Escherichia coli urinary tract infection
5256,copanlisib,Follicular lymphoma
2427,secnidazole,Bacterial vaginosis
5257,butylphthalide,Ischemic stroke
5259,abemaciclib,Hormone receptor positive malignant neoplasm of breast
4072,ascorbic acid,Ascorbic acid deficiency
5260,acalabrutinib,Mantle cell lymphoma
3739,etoxazene,Urinary tract pain
5261,latanoprostene bunod,Open angle glaucoma
5261,latanoprostene bunod,Ocular hypertension
5262,letermovir,Cytomegalovirus infection
5263,benralizumab,Eosinophilic asthma
5264,vestronidase alfa,"Mucopolysaccharidosis, MPS VII"
2413,rupatadine,Allergic rhinitis
2413,rupatadine,Urticaria
5265,lonoctocog alfa,Hereditary factor VIII deficiency disease
5267,semaglutide,Diabetes mellitus type 2
5268,emicizumab,Hereditary factor VIII deficiency disease
5058,ozenoxacin,Staphylococcal infection of skin
5266,amenamevir,Herpes zoster
5269,netarsudil,Open angle glaucoma
5269,netarsudil,Ocular hypertension
5258,tivozanib,Renal cell carcinoma
5229,forodesine,Peripheral T cell lymphoma
4654,regorafenib,Liver cell carcinoma
5231,midostaurin,"Acute myeloid leukemia, disease"
5231,midostaurin,Aggressive systemic mastocytosis
5231,midostaurin,Mast cell leukemia
5230,cerliponase alfa,Late infantile neuronal ceroid lipofuscinosis
5232,abaloparatide,At risk of osteoporotic fracture
5233,brigatinib,Non small cell lung cancer
5234,durvalumab,Transitional cell carcinoma
4933,tocilizumab,Giant cell arteritis
5235,cenegermin,Neurotrophic keratitis
5237,sarilumab,Rheumatoid arthritis
2449,sitafloxacin,Respiratory tract infection
2449,sitafloxacin,Urinary tract infectious disease
2438,setiptiline,Depressive disorder
5238,delafloxacin,Bacterial infection of skin
5240,polmacoxib,Osteoarthritis
5239,evogliptin,Diabetes mellitus type 2
5236,benproperine,Cough
5241,betrixaban,At risk of venous thromboembolus
667,cladribine,Relapsing remitting multiple sclerosis
5242,voxilaprevir,Chronic hepatitis C
5243,glecaprevir,Chronic hepatitis C
5244,pibrentasvir,Chronic hepatitis C
1253,ftivazide,Tuberculosis
5203,rucaparib,Malignant tumor of ovary
5202,baricitinib,Rheumatoid arthritis
67,acetyldigitoxin,Atrial fibrillation
67,acetyldigitoxin,Congestive heart failure
3000,acexamic acid,Skin ulcer
76,acipimox,Hyperlipoproteinemia
5201,crisaborole,Atopic dermatitis
5204,ferumoxytol,Iron deficiency anemia
5206,pegademase,Adenosine deaminase deficiency
5205,interferon alfa 2b,Hairy cell leukemia
5205,interferon alfa 2b,Malignant melanoma
5205,interferon alfa 2b,Follicular lymphoma
5205,interferon alfa 2b,Condyloma acuminatum
5205,interferon alfa 2b,Kaposi's sarcoma associated with AIDS
5205,interferon alfa 2b,Chronic hepatitis C
5205,interferon alfa 2b,Chronic type B viral hepatitis
5207,nusinersen,Spinal muscular atrophy
2032,oxymetazoline,Persistent erythema of skin
1430,imolamine,Angina pectoris
5208,plecanatide,Chronic idiopathic constipation
5210,olmutinib,Non small cell lung cancer
5209,icotinib,Non small cell lung cancer
4394,clevudine,Chronic type B viral hepatitis
5188,radotinib,Chronic myeloid leukemia
795,prasterone,Dyspareunia
5189,albutrepenonacog alfa,Hereditary factor IX deficiency disease
4942,lenvatinib,Renal cell carcinoma
658,ciprofibrate,Hypertriglyceridemia
658,ciprofibrate,Mixed hyperlipidemia
5199,taliglucerase alfa,Chronic non neuropathic Gaucher's disease
5142,pimavanserin,Parkinson's disease
1375,histamine,"Acute myeloid leukemia, disease"
4314,aceclidine,Open angle glaucoma
49,acefylline,Asthma
49,acefylline,Bronchitis
49,acefylline,Disorder of cardiovascular system
48,acenocoumarol,Venous thrombosis
48,acenocoumarol,Pulmonary embolism
55,acetarsol,Amebic infection
62,acetoxolone,Gastritis
64,acetylcarnitine,Alzheimer's disease
64,acetylcarnitine,Senile dementia
5186,bezlotoxumab,Clostridium difficile infection
5183,olaratumab,Sarcoma of soft tissue
3566,sulfarside,Amebic infection
3094,chloroxylenol,Antiseptic preparation
3353,methylhexaneamine,Nasal congestion
1849,motretinide,Acne vulgaris
2344,quinfamide,Amebic infection
3088,tosylchloramide sodium,Antiseptic preparation
1727,metacycline,Bacterial enteritis
5174,lifitegrast,Tear film insufficiency
5175,eptotermin alfa,Nonunion of fracture
2654,tibezonium,Antiseptic preparation
2165,piketoprofen,Pain
2026,oxyphencyclimine,Peptic ulcer
1588,lisuride,Migraine
1588,lisuride,Amenorrhea
1588,lisuride,Acromegaly
3125,dantron,Constipation
511,carmofur,Malignant tumor of colon
5176,pegloticase,Gout
3557,sulbentine,Dermal mycosis
3557,sulbentine,Pityriasis
676,clidinium,Enterocolitis
1007,encainide,Ventricular premature beats
1500,isopropamide,Peptic ulcer
1492,isofezolac,Rheumatoid arthritis
1492,isofezolac,Osteoarthritis
3483,posaconazole,Aspergillosis
3483,posaconazole,Fusarium infection
3483,posaconazole,Chromoblastomycosis
3014,bemotrizinol,Sunscreen agent
2038,oxyphenisatine,Constipation
2037,oxyphenisatine acetate,Constipation
5137,peginterferon beta 1a,Relapsing remitting multiple sclerosis
5139,interferon beta 1a,Relapsing remitting multiple sclerosis
5140,interferon beta 1b,Relapsing remitting multiple sclerosis
4156,edaravone,Ischemic stroke
5141,alteplase,Ischemic stroke
5141,alteplase,Acute myocardial infarction
5141,alteplase,Pulmonary embolism
4715,cabozantinib,Renal cell carcinoma
5122,ferric pyrophosphate citrate,Iron supplement therapy
5143,opicapone,Parkinson's disease
5144,gluconolactone,Urinary bladder stone
5145,faropenem medoxil,Respiratory tract infection
5145,faropenem medoxil,Bacterial infection of skin
1131,faropenem,Bacterial infection of skin
1131,faropenem,Respiratory tract infection
1957,nomegestrol acetate,Contraception
5146,ferumoxsil,Magnetic resonance imaging
5148,poractant alfa,Respiratory distress syndrome in the newborn
2558,talipexole,Parkinson's disease
5133,venetoclax,"Chronic lymphoid leukemia, disease"
5134,catridecacog,Hereditary factor XIII A subunit deficiency
5135,dornase alfa,Cystic fibrosis
1593,lofexidine,Opioid withdrawal
4171,eribulin,Liposarcoma
5082,pegaspargase,Acute lymphoid leukemia
5080,elbasvir,Chronic hepatitis C
5081,grazoprevir,Chronic hepatitis C
2019,oxetorone,Migraine
2345,quingestanol acetate,Postcoital contraception
3871,artemisinin,Falciparum malaria
5083,ixekizumab,Plaque psoriasis
5084,eftrenonacog alfa,Hereditary factor IX deficiency disease
1178,floctafenine,Acute pain
5086,besilesomab,Nuclear medicine imaging procedure
60,racecadotril,Acute diarrhea
1132,fasudil,Cerebral ischemia
5087,denileukin diftitox,Primary cutaneous T cell lymphoma
5088,alefacept,Plaque psoriasis
5089,abatacept,Rheumatoid arthritis
5089,abatacept,Juvenile idiopathic arthritis
1867,nafamostat,Cystic fibrosis
5090,arterolane,Falciparum malaria
311,benoxaprofen,Rheumatoid arthritis
1203,flunoxaprofen,Rheumatoid arthritis
5064,climbazole,Seborrheic dermatitis
5066,tenecteplase,Acute myocardial infarction
5067,ixazomib,Multiple myeloma
5068,brivaracetam,Partial seizure
5063,daratumumab,Multiple myeloma
5069,susoctocog alfa,Acquired factor VIII deficiency disease
5070,asparaginase,Acute lymphoid leukemia
4923,nivolumab,Metastatic renal cell carcinoma
5071,necitumumab,Non small cell lung cancer
2560,taltirelin,Spinocerebellar disease
4904,adalimumab,Hidradenitis suppurativa
5072,elotuzumab,Multiple myeloma
1141,felbinac,Osteoarthritis
1141,felbinac,Pain
982,echothiophate,Stargardt's disease
5073,pentapiperium metilsulfate,Peptic ulcer
3704,caroxazone,Depressive disorder
1008,endralazine,Hypertensive disorder
4374,lorcaserin,Obesity
5029,uridine triacetate,Antimetabolite overdose
5075,lesinurad,Hyperuricemia
107,alclofenac,Rheumatoid arthritis
107,alclofenac,Pain
2206,pirlindole,Depressive disorder
5046,cobimetinib,Metastatic malignant melanoma
231,aprindine,Supraventricular arrhythmia
231,aprindine,Ventricular arrhythmia
72,acetylpheneturide,Epilepsy
5047,saroglitazar,Diabetic dyslipidemia associated with type 2 diabetes mellitus
5048,pitolisant,Narcolepsy
5049,asfotase alfa,Hypophosphatasia
1002,emorfazone,Pain
5050,astodrimer,Antimicrobial substance
5051,collagenase,"Dupuytren's disease of finger, with contracture"
5051,collagenase,Induratio penis plastica
2491,sufentanil,Postoperative pain
4924,pembrolizumab,Non small cell lung cancer
569,celiprolol,Hypertensive disorder
569,celiprolol,Angina pectoris
1510,isoxsuprine,Raynaud's disease
3186,eseridine,Indigestion
1900,nepinalone,Non productive cough
1777,meticrane,Hypertensive disorder
164,aminoglutethimide,Secondary malignant neoplasm of female breast
5022,flibanserin,Lack or loss of sexual desire
5024,dibotermin alfa,Degeneration of intervertebral disc
5024,dibotermin alfa,Fracture of tibia
5025,sargramostim,Chemotherapy induced neutropenia
5026,oprelvekin,Thrombocytopenic disorder
5000,evolocumab,Familial hypercholesterolemia heterozygous
5000,evolocumab,Familial hypercholesterolemia homozygous
295,befunolol,Ocular hypertension
295,befunolol,Open angle glaucoma
5027,rolapitant,Chemotherapy induced nausea and vomiting
2193,pipotiazine palmitate,Schizophrenia
1211,flupentixol,Schizophrenia
2112,perospirone,Schizophrenia
945,domperidone,Nausea and vomiting
516,carfenazine,Chronic schizophrenia
1712,mesoridazine,Schizophrenia
1222,fluspirilene,Schizophrenia
5016,alirocumab,Hypercholesterolemia
5016,alirocumab,Complex dyslipidemia
5016,alirocumab,Familial hypercholesterolemia heterozygous
5016,alirocumab,Atherosclerosis
5017,anakinra,Rheumatoid arthritis
5017,anakinra,Cryopyrin associated periodic syndrome
5017,anakinra,"Chronic infantile neurological, cutaneous and articular syndrome"
5018,agalsidase beta,Fabry's disease
5019,turoctocog alfa,Hereditary factor VIII deficiency disease
4147,gadoversetamide,Magnetic resonance imaging
5020,olanexidine,Antiseptic preparation
5021,agalsidase alfa,Fabry's disease
5012,sacubitril,Chronic heart failure
5013,trelagliptin,Diabetes mellitus type 2
2200,pirenzepine,Peptic ulcer
